"Year","Year ID","Division","Conference","Team Name","Team ID","Team URL"
"2013","11320","1","AAC","Cincinnati","140","http://stats.ncaa.org/team/140/11320"
"2013","11320","1","AAC","Georgetown","251","http://stats.ncaa.org/team/251/11320"
"2013","11320","1","AAC","Louisville","367","http://stats.ncaa.org/team/367/11320"
"2013","11320","1","AAC","Notre Dame","513","http://stats.ncaa.org/team/513/11320"
"2013","11320","1","AAC","Pittsburgh","545","http://stats.ncaa.org/team/545/11320"
"2013","11320","1","AAC","Rutgers","587","http://stats.ncaa.org/team/587/11320"
"2013","11320","1","AAC","Seton Hall","635","http://stats.ncaa.org/team/635/11320"
"2013","11320","1","AAC","South Fla.","651","http://stats.ncaa.org/team/651/11320"
"2013","11320","1","AAC","St. John's (NY)","603","http://stats.ncaa.org/team/603/11320"
"2013","11320","1","AAC","UConn","164","http://stats.ncaa.org/team/164/11320"
"2013","11320","1","AAC","Villanova","739","http://stats.ncaa.org/team/739/11320"
"2013","11320","1","ACC","Boston College","67","http://stats.ncaa.org/team/67/11320"
"2013","11320","1","ACC","Clemson","147","http://stats.ncaa.org/team/147/11320"
"2013","11320","1","ACC","Duke","193","http://stats.ncaa.org/team/193/11320"
"2013","11320","1","ACC","Florida St.","234","http://stats.ncaa.org/team/234/11320"
"2013","11320","1","ACC","Georgia Tech","255","http://stats.ncaa.org/team/255/11320"
"2013","11320","1","ACC","Maryland","392","http://stats.ncaa.org/team/392/11320"
"2013","11320","1","ACC","Miami (FL)","415","http://stats.ncaa.org/team/415/11320"
"2013","11320","1","ACC","NC State","490","http://stats.ncaa.org/team/490/11320"
"2013","11320","1","ACC","North Carolina","457","http://stats.ncaa.org/team/457/11320"
"2013","11320","1","ACC","Virginia","746","http://stats.ncaa.org/team/746/11320"
"2013","11320","1","ACC","Virginia Tech","742","http://stats.ncaa.org/team/742/11320"
"2013","11320","1","ACC","Wake Forest","749","http://stats.ncaa.org/team/749/11320"
"2013","11320","1","ASUN","ETSU","198","http://stats.ncaa.org/team/198/11320"
"2013","11320","1","ASUN","FGCU","28755","http://stats.ncaa.org/team/28755/11320"
"2013","11320","1","ASUN","Jacksonville","316","http://stats.ncaa.org/team/316/11320"
"2013","11320","1","ASUN","Kennesaw St.","1157","http://stats.ncaa.org/team/1157/11320"
"2013","11320","1","ASUN","Lipscomb","28600","http://stats.ncaa.org/team/28600/11320"
"2013","11320","1","ASUN","Mercer","406","http://stats.ncaa.org/team/406/11320"
"2013","11320","1","ASUN","North Florida","2711","http://stats.ncaa.org/team/2711/11320"
"2013","11320","1","ASUN","Northern Ky.","505","http://stats.ncaa.org/team/505/11320"
"2013","11320","1","ASUN","Stetson","678","http://stats.ncaa.org/team/678/11320"
"2013","11320","1","ASUN","USC Upstate","10411","http://stats.ncaa.org/team/10411/11320"
"2013","11320","1","America East","Albany (NY)","14","http://stats.ncaa.org/team/14/11320"
"2013","11320","1","America East","Binghamton","62","http://stats.ncaa.org/team/62/11320"
"2013","11320","1","America East","Hartford","272","http://stats.ncaa.org/team/272/11320"
"2013","11320","1","America East","Maine","380","http://stats.ncaa.org/team/380/11320"
"2013","11320","1","America East","Stony Brook","683","http://stats.ncaa.org/team/683/11320"
"2013","11320","1","America East","UMBC","391","http://stats.ncaa.org/team/391/11320"
"2013","11320","1","Atlantic 10","Butler","87","http://stats.ncaa.org/team/87/11320"
"2013","11320","1","Atlantic 10","Charlotte","458","http://stats.ncaa.org/team/458/11320"
"2013","11320","1","Atlantic 10","Dayton","175","http://stats.ncaa.org/team/175/11320"
"2013","11320","1","Atlantic 10","Fordham","236","http://stats.ncaa.org/team/236/11320"
"2013","11320","1","Atlantic 10","George Washington","249","http://stats.ncaa.org/team/249/11320"
"2013","11320","1","Atlantic 10","La Salle","340","http://stats.ncaa.org/team/340/11320"
"2013","11320","1","Atlantic 10","Massachusetts","400","http://stats.ncaa.org/team/400/11320"
"2013","11320","1","Atlantic 10","Rhode Island","572","http://stats.ncaa.org/team/572/11320"
"2013","11320","1","Atlantic 10","Richmond","575","http://stats.ncaa.org/team/575/11320"
"2013","11320","1","Atlantic 10","Saint Joseph's","606","http://stats.ncaa.org/team/606/11320"
"2013","11320","1","Atlantic 10","Saint Louis","609","http://stats.ncaa.org/team/609/11320"
"2013","11320","1","Atlantic 10","St. Bonaventure","596","http://stats.ncaa.org/team/596/11320"
"2013","11320","1","Atlantic 10","Temple","690","http://stats.ncaa.org/team/690/11320"
"2013","11320","1","Atlantic 10","VCU","740","http://stats.ncaa.org/team/740/11320"
"2013","11320","1","Atlantic 10","Xavier","812","http://stats.ncaa.org/team/812/11320"
"2013","11320","1","Big 12","Baylor","51","http://stats.ncaa.org/team/51/11320"
"2013","11320","1","Big 12","Kansas","328","http://stats.ncaa.org/team/328/11320"
"2013","11320","1","Big 12","Kansas St.","327","http://stats.ncaa.org/team/327/11320"
"2013","11320","1","Big 12","Oklahoma","522","http://stats.ncaa.org/team/522/11320"
"2013","11320","1","Big 12","Oklahoma St.","521","http://stats.ncaa.org/team/521/11320"
"2013","11320","1","Big 12","TCU","698","http://stats.ncaa.org/team/698/11320"
"2013","11320","1","Big 12","Texas","703","http://stats.ncaa.org/team/703/11320"
"2013","11320","1","Big 12","Texas Tech","700","http://stats.ncaa.org/team/700/11320"
"2013","11320","1","Big 12","West Virginia","768","http://stats.ncaa.org/team/768/11320"
"2013","11320","1","Big South","Campbell","115","http://stats.ncaa.org/team/115/11320"
"2013","11320","1","Big South","Charleston So.","48","http://stats.ncaa.org/team/48/11320"
"2013","11320","1","Big South","Coastal Caro.","149","http://stats.ncaa.org/team/149/11320"
"2013","11320","1","Big South","Gardner-Webb","1092","http://stats.ncaa.org/team/1092/11320"
"2013","11320","1","Big South","High Point","19651","http://stats.ncaa.org/team/19651/11320"
"2013","11320","1","Big South","Liberty","355","http://stats.ncaa.org/team/355/11320"
"2013","11320","1","Big South","Longwood","363","http://stats.ncaa.org/team/363/11320"
"2013","11320","1","Big South","Presbyterian","1320","http://stats.ncaa.org/team/1320/11320"
"2013","11320","1","Big South","Radford","563","http://stats.ncaa.org/team/563/11320"
"2013","11320","1","Big South","UNC Asheville","456","http://stats.ncaa.org/team/456/11320"
"2013","11320","1","Big South","VMI","741","http://stats.ncaa.org/team/741/11320"
"2013","11320","1","Big South","Winthrop","792","http://stats.ncaa.org/team/792/11320"
"2013","11320","1","Big Ten","Illinois","301","http://stats.ncaa.org/team/301/11320"
"2013","11320","1","Big Ten","Indiana","306","http://stats.ncaa.org/team/306/11320"
"2013","11320","1","Big Ten","Iowa","312","http://stats.ncaa.org/team/312/11320"
"2013","11320","1","Big Ten","Michigan","418","http://stats.ncaa.org/team/418/11320"
"2013","11320","1","Big Ten","Michigan St.","416","http://stats.ncaa.org/team/416/11320"
"2013","11320","1","Big Ten","Minnesota","428","http://stats.ncaa.org/team/428/11320"
"2013","11320","1","Big Ten","Nebraska","463","http://stats.ncaa.org/team/463/11320"
"2013","11320","1","Big Ten","Northwestern","509","http://stats.ncaa.org/team/509/11320"
"2013","11320","1","Big Ten","Ohio St.","518","http://stats.ncaa.org/team/518/11320"
"2013","11320","1","Big Ten","Penn St.","539","http://stats.ncaa.org/team/539/11320"
"2013","11320","1","Big Ten","Purdue","559","http://stats.ncaa.org/team/559/11320"
"2013","11320","1","Big West","CSUN","101","http://stats.ncaa.org/team/101/11320"
"2013","11320","1","Big West","Cal Poly","90","http://stats.ncaa.org/team/90/11320"
"2013","11320","1","Big West","Cal St. Fullerton","97","http://stats.ncaa.org/team/97/11320"
"2013","11320","1","Big West","Hawaii","277","http://stats.ncaa.org/team/277/11320"
"2013","11320","1","Big West","Long Beach St.","99","http://stats.ncaa.org/team/99/11320"
"2013","11320","1","Big West","Pacific","534","http://stats.ncaa.org/team/534/11320"
"2013","11320","1","Big West","UC Davis","108","http://stats.ncaa.org/team/108/11320"
"2013","11320","1","Big West","UC Irvine","109","http://stats.ncaa.org/team/109/11320"
"2013","11320","1","Big West","UC Riverside","111","http://stats.ncaa.org/team/111/11320"
"2013","11320","1","Big West","UC Santa Barbara","104","http://stats.ncaa.org/team/104/11320"
"2013","11320","1","C-USA","East Carolina","196","http://stats.ncaa.org/team/196/11320"
"2013","11320","1","C-USA","Houston","288","http://stats.ncaa.org/team/288/11320"
"2013","11320","1","C-USA","Marshall","388","http://stats.ncaa.org/team/388/11320"
"2013","11320","1","C-USA","Memphis","404","http://stats.ncaa.org/team/404/11320"
"2013","11320","1","C-USA","Rice","574","http://stats.ncaa.org/team/574/11320"
"2013","11320","1","C-USA","Southern Miss.","664","http://stats.ncaa.org/team/664/11320"
"2013","11320","1","C-USA","Tulane","718","http://stats.ncaa.org/team/718/11320"
"2013","11320","1","C-USA","UAB","9","http://stats.ncaa.org/team/9/11320"
"2013","11320","1","C-USA","UCF","128","http://stats.ncaa.org/team/128/11320"
"2013","11320","1","CAA","Delaware","180","http://stats.ncaa.org/team/180/11320"
"2013","11320","1","CAA","George Mason","248","http://stats.ncaa.org/team/248/11320"
